Name,State,decimalLatitude,decimalLongitude,year
Pinus rigida,Maine,43.613281,-70.798948,2018
Pinus rigida,Maine,44.352776,-68.20446,2018
Pinus rigida,Maine,44.367142,-68.230378,2018
Pinus rigida,Maine,44.32813,-68.184602,2018
Pinus rigida,,38.933243,-74.96521,2018
Pinus rigida,Maine,44.343184,-68.236404,2018
Pinus rigida,Maine,44.327787,-68.192658,2018
Pinus rigida,Pennsylvania,39.935988,-77.448708,2018
Pinus rigida,Maine,44.351584,-68.223317,2018
Pinus rigida,Maine,44.351558,-68.223342,2018
Pinus rigida,New Hampshire,44.044182,-71.091623,2018
Pinus rigida,Vermont,44.486407,-73.102206,2018
Pinus rigida,Vermont,44.938741,-73.195663,2018
Pinus rigida,New Jersey,38.935783,-74.956238,2018
Pinus rigida,North Carolina,35.035736,-83.192122,2018
Pinus rigida,Maine,44.333,-68.193155,2018
Pinus rigida,New Jersey,39.739222,-74.727556,2018
Pinus rigida,Maine,44.316915,-68.193594,2018
Pinus rigida,Massachusetts,42.062282,-70.112875,2018
Pinus rigida,Massachusetts,41.674408,-70.062644,2018
Pinus rigida,Vermont,43.947808,-73.077178,2018
Pinus rigida,Maine,44.32755,-68.295547,2018
Pinus rigida,New Jersey,39.771632,-74.215279,2018
Pinus rigida,New York,40.682262,-73.51537,2018
Pinus rigida,Rhode Island,41.657004,-71.552476,2018
Pinus rigida,Massachusetts,41.699947,-70.141175,2018
Pinus rigida,Maine,44.327479,-68.295419,2018
Pinus rigida,Maine,44.327568,-68.295639,2018
Pinus rigida,Maryland,39.086809,-76.777613,2018
Pinus rigida,Maryland,39.08502,-76.801602,2018
Pinus rigida,Maine,44.231064,-68.313668,2018
Pinus rigida,New York,41.070472,-71.857021,2018
Pinus rigida,West Virginia,39.636625,-79.815534,2018
Pinus rigida,New York,40.904483,-73.091606,2018
Pinus rigida,New York,40.902275,-73.081933,2018
Pinus rigida,New York,43.622334,-73.547746,2018
Pinus rigida,Massachusetts,42.732631,-70.787675,2018
Pinus rigida,New York,40.59545,-73.903931,2018
Pinus rigida,Maryland,39.043311,-76.968903,2018
Pinus rigida,Massachusetts,42.212265,-71.114376,2018
Pinus rigida,Pennsylvania,39.727814,-76.073911,2018
Pinus rigida,Vermont,44.50095,-73.165122,2018
Pinus rigida,Vermont,44.50095,-73.165122,2018
Pinus rigida,Massachusetts,42.496054,-71.480061,2018
Pinus rigida,Massachusetts,42.514051,-71.47737,2018
Pinus rigida,Massachusetts,42.370644,-71.257964,2018
Pinus rigida,Massachusetts,42.496767,-71.486108,2018
Pinus rigida,New York,40.795239,-73.961468,2018
Pinus rigida,New York,41.310733,-74.006762,2018
Pinus rigida,Ohio,39.04947,-81.85564,2018
Pinus rigida,Connecticut,41.263498,-72.736896,2018
Pinus rigida,New York,41.425379,-73.967152,2018
Pinus rigida,New York,41.425896,-74.001623,2018
Pinus rigida,New Jersey,39.514953,-74.503285,2018
Pinus rigida,New York,42.703133,-73.8441,2018
Pinus rigida,Massachusetts,42.085225,-71.198015,2018
Pinus rigida,North Carolina,35.63348,-82.55651,2018
Pinus rigida,Massachusetts,42.366963,-71.256585,2018
Pinus rigida,New York,42.695658,-73.878784,2018
Pinus rigida,Massachusetts,41.84639,-70.680016,2018
Pinus rigida,Massachusetts,42.072934,-70.207631,2018
Pinus rigida,Massachusetts,42.370533,-71.258003,2018
Pinus rigida,Massachusetts,42.361126,-72.492157,2018
Pinus rigida,Massachusetts,42.369219,-71.258189,2018
Pinus rigida,Massachusetts,42.369499,-71.256568,2018
Pinus rigida,Massachusetts,42.350952,-72.483147,2018
Pinus rigida,New Jersey,39.7,-74.4,2018
Pinus rigida,Pennsylvania,40.029337,-78.191195,2018
Pinus rigida,New Hampshire,44.016833,-71.114604,2018
Pinus rigida,New Jersey,40.384917,-74.431589,2018
Pinus rigida,Maine,43.782575,-69.729291,2018
Pinus rigida,Massachusetts,42.434071,-71.198151,2018
Pinus rigida,New Jersey,39.320185,-74.511048,2018
Pinus rigida,New York,40.68144,-73.515354,2018
Pinus rigida,New York,40.594975,-73.903525,2018
Pinus rigida,New York,40.865124,-72.764149,2018
Pinus rigida,Vermont,44.454405,-73.229564,2018
Pinus rigida,Connecticut,41.264508,-72.739562,2018
Pinus rigida,Connecticut,41.425862,-72.83277,2018
Pinus rigida,Vermont,44.431589,-73.206824,2018
Pinus rigida,Connecticut,41.255253,-72.856365,2018
Pinus rigida,Massachusetts,42.301346,-72.334846,2018
Pinus rigida,New Jersey,40.436738,-74.150397,2018
Pinus rigida,Massachusetts,42.335433,-71.344538,2019
Pinus rigida,Massachusetts,42.335482,-71.344404,2019
Pinus rigida,New Hampshire,43.564835,-71.283058,2019
Pinus rigida,New York,40.987126,-72.529024,2019
Pinus rigida,New York,42.6969,-73.86145,2019
Pinus rigida,New Hampshire,42.815485,-71.583432,2019
Pinus rigida,Maine,44.330127,-68.22102,2019
Pinus rigida,Massachusetts,41.913028,-69.972497,2019
Pinus rigida,Massachusetts,42.63242,-71.157372,2019
Pinus rigida,Massachusetts,42.3498,-72.483978,2019
Pinus rigida,Pennsylvania,39.758083,-79.669883,2019
Pinus rigida,New York,40.950886,-72.077896,2019
Pinus rigida,New York,40.90856,-72.817263,2019
Pinus rigida,Massachusetts,41.644446,-70.217869,2019
Pinus rigida,New Jersey,39.95038,-74.1664,2019
Pinus rigida,New Jersey,40.034306,-74.079066,2019
Pinus rigida,New Jersey,40.042818,-74.086672,2019
Pinus rigida,New Jersey,40.044475,-74.086851,2019
Pinus rigida,Massachusetts,42.528374,-71.314735,2019
Pinus rigida,New Jersey,39.81559,-74.434128,2019
Pinus rigida,Ohio,39.082096,-82.62874,2019
Pinus rigida,Vermont,43.906495,-73.062989,2019
Pinus rigida,Massachusetts,42.247167,-73.34049,2019
Pinus rigida,New York,40.61723,-73.825142,2019
Pinus rigida,Massachusetts,41.380934,-70.479126,2019
Pinus rigida,Connecticut,41.905645,-72.698655,2019
Pinus rigida,Maine,43.889112,-69.983497,2019
Pinus rigida,Massachusetts,42.258747,-72.50058,2019
Pinus rigida,Massachusetts,42.182587,-72.509323,2019
Pinus rigida,Massachusetts,42.271469,-72.503365,2019
Pinus rigida,Massachusetts,41.83572,-71.269184,2019
Pinus rigida,Rhode Island,41.456672,-71.19362,2019
Pinus rigida,New Jersey,39.929748,-74.356781,2019
Pinus rigida,Connecticut,41.791105,-72.290618,2019
Pinus rigida,Massachusetts,42.313761,-72.704277,2019
Pinus rigida,Massachusetts,42.489782,-72.280653,2019
Pinus rigida,Massachusetts,41.67676,-70.06715,2019
Pinus rigida,Massachusetts,42.492888,-72.280557,2019
